epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3125.68,0.82813,0.56657,0.94194,0.76599,0.55215,0.63266,0.37328,1.62597,1.2598,1.38134,0.005842,0.005842,0.005842
44,3196.66,0.82875,0.56425,0.94153,0.76551,0.5535,0.63282,0.37339,1.62444,1.25833,1.3804,0.005743,0.005743,0.005743
45,3268.84,0.81589,0.56045,0.93949,0.76552,0.55371,0.63291,0.37361,1.62487,1.25786,1.3807,0.005644,0.005644,0.005644
46,3340.38,0.82174,0.56086,0.9418,0.76674,0.55302,0.63326,0.37386,1.62405,1.25669,1.38016,0.005545,0.005545,0.005545
47,3412.92,0.81455,0.55742,0.93867,0.76603,0.55376,0.63363,0.3742,1.62331,1.25543,1.37923,0.005446,0.005446,0.005446
48,3483.74,0.81461,0.55762,0.94133,0.76839,0.55272,0.63397,0.37438,1.62305,1.25401,1.37847,0.005347,0.005347,0.005347
49,3554.8,0.80638,0.55308,0.93991,0.76877,0.55276,0.63388,0.37454,1.62248,1.25274,1.37774,0.005248,0.005248,0.005248
50,3627.15,0.80814,0.55279,0.93734,0.76668,0.55407,0.63421,0.37473,1.62205,1.25176,1.3772,0.005149,0.005149,0.005149
51,3698.22,0.80669,0.55155,0.93896,0.7667,0.55448,0.63431,0.37487,1.62169,1.25072,1.37682,0.00505,0.00505,0.00505
52,3768.98,0.79126,0.54132,0.93357,0.76607,0.55489,0.63448,0.37532,1.62094,1.24985,1.37644,0.004951,0.004951,0.004951
53,3839.77,0.79551,0.54355,0.935,0.76631,0.55485,0.63476,0.37556,1.62001,1.24892,1.37584,0.004852,0.004852,0.004852
54,3911.02,0.79134,0.54158,0.93353,0.76615,0.55491,0.6349,0.37566,1.61953,1.24788,1.37534,0.004753,0.004753,0.004753
55,3982.21,0.79245,0.54289,0.93798,0.76653,0.55483,0.63524,0.3758,1.61893,1.24705,1.37464,0.004654,0.004654,0.004654
56,4053.59,0.7865,0.53767,0.93287,0.76652,0.55534,0.63551,0.3761,1.61822,1.24641,1.37411,0.004555,0.004555,0.004555
57,4126.41,0.78087,0.53247,0.93128,0.76669,0.55504,0.63564,0.37642,1.61752,1.24532,1.37316,0.004456,0.004456,0.004456
58,4197.33,0.78072,0.53449,0.92909,0.76574,0.55588,0.63586,0.37662,1.61647,1.24405,1.37196,0.004357,0.004357,0.004357
